,trial_id,sponsor_status,protocol_country,sponsor_country
272,2009-016987-34,Commercial,9.0,United States
273,2009-017261-32,Non-Commercial,1.0,Germany
274,2009-017438-32,Commercial,4.0,United States
275,2009-017449-72,Non-Commercial,1.0,United States
276,2009-017479-29,Commercial,4.0,United States
277,2009-017752-28,Non-Commercial,1.0,Denmark
278,2009-017831-16,Non-Commercial,1.0,Denmark
279,2009-017842-30,Non-Commercial,1.0,United Kingdom
280,2009-017918-69,Commercial,9.0,France
281,2009-018097-64,Commercial,1.0,Belgium
282,2009-018172-33,Commercial,5.0,France
283,2009-018245-21,Non-Commercial,1.0,Denmark
284,2010-018283-16,Commercial,10.0,United States
285,2010-018379-70,Non-Commercial,1.0,Spain
286,2010-018448-15,Non-Commercial,1.0,Denmark
287,2010-018532-40,Commercial,3.0,United Kingdom
288,2010-018686-36,Commercial,1.0,Germany
289,2010-018776-24,Non-Commercial,1.0,United Kingdom
290,2010-018945-72,Commercial,3.0,Switzerland
291,2010-019094-15,Commercial,5.0,Italy
292,2010-019109-40,Commercial,1.0,Australia
293,2010-019195-67,Non-Commercial,1.0,Italy
294,2010-019268-35,Commercial,1.0,France
295,2010-019591-67,Non-Commercial,1.0,France
296,2010-019913-12,Non-Commercial,1.0,Italy
297,2010-019968-37,Commercial,6.0,Austria
298,2010-020126-17,Commercial,1.0,Sweden
299,2010-020168-39,Commercial,1.0,Germany
300,2010-020521-40,Commercial,1.0,Italy
301,2010-020973-18,Commercial,1.0,France
302,2010-021091-28,Commercial,6.0,France
303,2010-021150-19,Non-Commercial,1.0,Netherlands
304,2010-021217-23,Commercial,3.0,Sweden
305,2010-021384-33,Non-Commercial,1.0,Sweden
306,2010-021438-68,Commercial,1.0,Norway
307,2010-021560-15,Commercial,8.0,Denmark
308,2010-021593-11,Non-Commercial,1.0,Spain
309,2010-021850-20,Commercial,6.0,United States
310,2010-022058-18,Non-Commercial,1.0,Germany
311,2010-022184-35,Non-Commercial,1.0,United Kingdom
312,2010-022455-31,Commercial,2.0,Germany
313,2010-022693-14,Non-Commercial,1.0,Netherlands
314,2010-022699-30,Non-Commercial,1.0,Netherlands
315,2010-022772-31,Non-Commercial,1.0,Austria
316,2010-022812-37,Non-Commercial,1.0,United Kingdom
317,2010-022980-37,Commercial,1.0,Germany
318,2010-023002-13,Commercial,3.0,Germany
319,2010-023023-19,Commercial,2.0,Italy
320,2010-023198-21,Non-Commercial,1.0,United Kingdom
321,2010-023481-41,Non-Commercial,1.0,Italy
322,2010-023533-34,Commercial,1.0,France
323,2010-023602-12,Non-Commercial,1.0,Italy
324,2010-023613-61,Commercial,2.0,Italy
325,2010-024046-29,Non-Commercial,1.0,France
326,2010-024108-84,Commercial,9.0,Austria
327,2010-024119-15,Non-Commercial,1.0,Spain
328,2010-024446-30,Non-Commercial,1.0,Italy
329,2010-024557-36,Non-Commercial,3.0,Australia
330,2010-024665-52,Commercial,1.0,Czech Republic
331,2011-000056-42,Commercial,1.0,Belgium
332,2011-000125-76,Non-Commercial,1.0,Finland
333,2011-000133-37,Commercial,1.0,Sweden
334,2011-000197-53,Non-Commercial,1.0,Italy
335,2011-000291-34,Unknown,1.0,No Data Available
336,2011-000401-50,Non-Commercial,1.0,Spain
337,2011-000536-28,Commercial,2.0,United States
338,2011-000721-77,Non-Commercial,1.0,United Kingdom
339,2011-000774-58,Commercial,1.0,United States
340,2011-000811-23,Non-Commercial,1.0,United Kingdom
341,2011-000947-26,Commercial,2.0,Multi-country
342,2011-001483-21,Commercial,6.0,Sweden
343,2011-001616-57,Commercial,2.0,France
344,2011-001725-24,Commercial,5.0,Switzerland
345,2011-001756-12,Non-Commercial,1.0,Belgium
346,2011-001965-42,Commercial,9.0,Switzerland
347,2011-002268-26,Non-Commercial,1.0,Canada
348,2011-002329-23,Commercial,2.0,United States
349,2011-002453-65,Commercial,2.0,United States
350,2011-002472-16,Commercial,1.0,Germany
351,2011-002865-39,Commercial,3.0,France
352,2011-002908-33,Commercial,5.0,Germany
353,2011-003317-41,Commercial,1.0,Germany
354,2011-003325-10,Non-Commercial,1.0,Netherlands
355,2011-003509-65,Non-Commercial,1.0,Italy
356,2011-003560-74,Non-Commercial,1.0,Netherlands
357,2011-003574-84,Commercial,5.0,Switzerland
358,2011-003654-40,Non-Commercial,1.0,Ireland
359,2011-003832-30,Commercial,6.0,United States
360,2011-004237-14,Commercial,6.0,Belgium
361,2011-004355-40,Commercial,5.0,Denmark
362,2011-004498-96,Non-Commercial,1.0,United Kingdom
363,2011-004559-38,Non-Commercial,1.0,United Kingdom
364,2011-004584-67,Commercial,2.0,France
365,2011-004886-34,Commercial,2.0,United States
366,2011-005017-37,Non-Commercial,1.0,Netherlands
367,2011-005061-20,Commercial,4.0,United States
368,2011-005366-38,Non-Commercial,1.0,Sweden
369,2011-005461-21,Non-Commercial,1.0,Italy
370,2011-005616-29,Non-Commercial,1.0,United Kingdom
371,2011-005622-21,Non-Commercial,1.0,Denmark
372,2011-005666-37,Commercial,1.0,Italy
373,2011-005683-21,Non-Commercial,1.0,Austria
374,2011-006119-70,Commercial,7.0,United Kingdom
375,2011-006121-26,Commercial,3.0,Belgium
376,2011-006162-40,Non-Commercial,1.0,Spain
377,2011-006174-47,Commercial,3.0,Netherlands
378,2011-006179-20,Non-Commercial,1.0,Spain
379,2011-006294-26,Commercial,3.0,Austria
380,2011-006331-35,Non-Commercial,1.0,Italy
381,2012-000057-31,Commercial,1.0,Belgium
382,2012-000109-66,Commercial,9.0,United States
383,2012-000347-28,Commercial,7.0,Germany
384,2012-000363-24,Non-Commercial,1.0,Netherlands
385,2012-000869-21,Non-Commercial,1.0,Italy
386,2012-001125-27,Commercial,6.0,France
387,2012-001142-18,Non-Commercial,1.0,Netherlands
388,2012-001249-41,Non-Commercial,3.0,Switzerland
389,2012-001515-22,Non-Commercial,1.0,Belgium
390,2012-001570-29,Non-Commercial,1.0,Netherlands
391,2012-001709-26,Commercial,1.0,Czech Republic
392,2012-001711-23,Commercial,6.0,Denmark
393,2012-001809-24,Non-Commercial,1.0,Netherlands
394,2012-001956-20,Commercial,6.0,United States
395,2012-002105-22,Non-Commercial,1.0,Spain
396,2012-002255-42,Commercial,1.0,United Arab Emirates
397,2012-002278-30,Non-Commercial,1.0,Germany
398,2012-002418-38,Non-Commercial,1.0,Netherlands
