,euctr_id,euctr_results_inc,euctr_results_date,nct_id,ctgov_results_inc,ctgov_results_date,journal_results_inc,journal_pub_date,min_date,max_date,results_counts,earliest_results,next_result_date,next_result,time_to_second_pub
58,2007-000974-22,0,,NCT01412515,0,,1,2015-05-12,2015-05-12,2015-05-12,1,Journal,2020-12-11,0,2040.0
59,2007-004483-41,0,,NCT00780793,0,,1,2015-06-23,2015-06-23,2015-06-23,1,Journal,2020-12-11,0,1998.0
60,2009-016760-36,1,2019-07-24,NCT01281098,0,,0,,2019-07-24,2019-07-24,1,EUCTR,2020-12-11,0,506.0
61,2012-002278-30,0,,NCT01835678,0,,1,2016-09-01,2016-09-01,2016-09-01,1,Journal,2020-12-11,0,1562.0
62,2010-018945-72,1,2016-03-02,NCT01185847,0,,0,,2016-03-02,2016-03-02,1,EUCTR,2020-12-11,0,1745.0
63,2012-004938-42,0,,NCT01823640,0,,1,2018-02-15,2018-02-15,2018-02-15,1,Journal,2020-12-11,0,1030.0
64,2012-000109-66,1,2017-06-01,NCT01607957,1,2019-05-21,1,2015-05-14,2015-05-14,2019-05-21,3,Journal,2017-06-01,1,749.0
65,2005-000841-12,1,2015-05-06,NCT00153075,0,,0,,2015-05-06,2015-05-06,1,EUCTR,2020-12-11,0,2046.0
66,2013-003873-85,0,,NCT02171910,0,,1,2020-01-28,2020-01-28,2020-01-28,1,Journal,2020-12-11,0,318.0
67,2014-004972-49,1,2018-07-15,NCT02763644,1,2019-04-17,0,,2018-07-15,2019-04-17,2,EUCTR,2019-04-17,1,276.0
68,2012-002806-31,1,2015-07-26,NCT01788046,1,2017-03-27,1,2017-01-10,2015-07-26,2017-03-27,3,EUCTR,2017-01-10,1,534.0
69,2012-003110-14,1,2016-02-26,NCT01717300,0,,1,2016-11-01,2016-02-26,2016-11-01,2,EUCTR,2016-11-01,1,249.0
70,2011-006121-26,1,2015-08-13,NCT01582815,0,,1,2016-01-20,2015-08-13,2016-01-20,2,EUCTR,2016-01-20,1,160.0
71,2010-021560-15,1,2016-12-08,NCT01336023,1,2017-06-02,1,2014-09-01,2014-09-01,2017-06-02,3,Journal,2016-12-08,1,829.0
72,2011-000947-26,1,2016-10-07,NCT01232595,0,,0,,2016-10-07,2016-10-07,1,EUCTR,2020-12-11,0,1526.0
73,2008-003839-20,1,2017-01-05,NCT00907764,0,,0,,2017-01-05,2017-01-05,1,EUCTR,2020-12-11,0,1436.0
74,2014-001096-31,1,2017-07-29,NCT02384538,1,2017-07-13,1,2018-12-14,2017-07-13,2018-12-14,3,CTgov,2017-07-29,1,16.0
75,2010-022812-37,0,,NCT01354392,0,,1,2015-02-26,2015-02-26,2015-02-26,1,Journal,2020-12-11,0,2115.0
76,2009-015681-55,1,2016-07-22,NCT00992563,0,,0,,2016-07-22,2016-07-22,1,EUCTR,2020-12-11,0,1603.0
77,2013-005464-25,1,2016-08-30,NCT02035748,1,2016-10-12,1,2019-12-01,2016-08-30,2019-12-01,3,EUCTR,2016-10-12,1,43.0
78,2011-003574-84,1,2015-07-18,NCT01507168,0,,1,2016-04-13,2015-07-18,2016-04-13,2,EUCTR,2016-04-13,1,270.0
79,2012-001249-41,0,,NCT01745263,0,,1,2020-11-10,2020-11-10,2020-11-10,1,Journal,2020-12-11,0,31.0
80,2006-002590-44,1,2016-09-30,NCT00396955,0,,0,,2016-09-30,2016-09-30,1,EUCTR,2020-12-11,0,1533.0
81,2013-001103-36,1,2016-07-20,NCT01892787,0,,1,2015-07-26,2015-07-26,2016-07-20,2,Journal,2016-07-20,1,360.0
82,2010-020126-17,1,2016-02-20,NCT01238861,1,2016-11-17,1,2014-10-08,2014-10-08,2016-11-17,3,Journal,2016-02-20,1,500.0
83,2015-000159-26,1,2018-01-12,NCT02403895,1,2018-07-03,0,,2018-01-12,2018-07-03,2,EUCTR,2018-07-03,1,172.0
84,2012-003137-41,1,2016-03-16,NCT02021461,1,2014-04-03,0,,2014-04-03,2016-03-16,2,CTgov,2016-03-16,1,713.0
85,2009-013165-25,1,2015-07-26,NCT01078376,1,2014-07-25,1,2016-01-04,2014-07-25,2016-01-04,3,CTgov,2015-07-26,1,366.0
86,2008-005319-16,1,2014-11-12,NCT00861484,0,,1,2020-11-20,2014-11-12,2020-11-20,2,EUCTR,2020-11-20,1,2200.0
87,2007-004675-19,1,2019-05-29,NCT00680641,0,,0,,2019-05-29,2019-05-29,1,EUCTR,2020-12-11,0,562.0
88,2012-005232-29,0,,NCT02069990,0,,1,2016-10-07,2016-10-07,2016-10-07,1,Journal,2020-12-11,0,1526.0
89,2013-000176-15,1,2018-01-03,NCT01868061,0,,1,2016-09-05,2016-09-05,2018-01-03,2,Journal,2018-01-03,1,485.0
90,2017-001607-80,1,2018-01-05,NCT00937404,1,2018-12-17,1,2016-02-09,2016-02-09,2018-12-17,3,Journal,2018-01-05,1,696.0
91,2015-000458-40,1,2019-02-14,NCT02733367,1,2019-09-13,1,2020-09-04,2019-02-14,2020-09-04,3,EUCTR,2019-09-13,1,211.0
92,2011-004886-34,0,,NCT01622569,1,2018-12-05,1,2018-11-27,2018-11-27,2018-12-05,2,Journal,2018-12-05,1,8.0
93,2010-024557-36,1,2019-10-16,NCT01364090,1,2017-10-08,1,2017-06-16,2017-06-16,2019-10-16,3,Journal,2017-10-08,1,114.0
94,2007-000502-70,1,2020-02-09,NCT00762632,0,,0,,2020-02-09,2020-02-09,1,EUCTR,2020-12-11,0,306.0
95,2013-005628-41,1,2018-04-29,NCT02174432,1,2020-10-23,0,,2018-04-29,2020-10-23,2,EUCTR,2020-10-23,1,908.0
96,2009-017438-32,1,2017-01-04,NCT01052194,0,,1,2014-11-10,2014-11-10,2017-01-04,2,Journal,2017-01-04,1,786.0
97,2010-018776-24,1,2016-12-10,NCT01096732,0,,0,,2016-12-10,2016-12-10,1,EUCTR,2020-12-11,0,1462.0
98,2015-003625-34,1,2018-08-04,NCT02719171,1,2019-05-30,0,,2018-08-04,2019-05-30,2,EUCTR,2019-05-30,1,299.0
99,2011-004237-14,1,2016-06-09,NCT01492426,1,2016-06-03,1,2016-03-28,2016-03-28,2016-06-09,3,Journal,2016-06-03,1,67.0
100,2009-018172-33,1,2016-04-06,NCT01121835,0,,1,2015-04-11,2015-04-11,2016-04-06,2,Journal,2016-04-06,1,361.0
101,2008-004849-28,1,2015-07-26,NCT00884000,0,,0,,2015-07-26,2015-07-26,1,EUCTR,2020-12-11,0,1965.0
102,2013-003587-31,1,2017-09-21,NCT01986855,1,2017-10-04,1,2017-11-20,2017-09-21,2017-11-20,3,EUCTR,2017-10-04,1,13.0
103,2014-000340-15,1,2016-03-30,NCT02211846,0,,1,2019-10-22,2016-03-30,2019-10-22,2,EUCTR,2019-10-22,1,1301.0
104,2007-005365-35,0,,NCT00794326,0,,1,2020-05-19,2020-05-19,2020-05-19,1,Journal,2020-12-11,0,206.0
105,2008-004499-38,1,2016-09-28,NCT01278004,0,,0,,2016-09-28,2016-09-28,1,EUCTR,2020-12-11,0,1535.0
106,2014-003896-41,1,2019-08-23,NCT02334306,1,2019-03-19,1,2019-11-12,2019-03-19,2019-11-12,3,CTgov,2019-08-23,1,157.0
107,2012-005048-46,0,,NCT01853813,0,,1,2017-09-19,2017-09-19,2017-09-19,1,Journal,2020-12-11,0,1179.0
108,2009-013222-16,1,2015-08-12,NCT01018953,1,2015-09-07,0,,2015-08-12,2015-09-07,2,EUCTR,2015-09-07,1,26.0
109,2009-011564-11,1,2015-08-01,NCT00962780,1,2014-11-17,1,2015-07-17,2014-11-17,2015-08-01,3,CTgov,2015-07-17,1,242.0
110,2013-002850-54,1,2016-04-30,NCT02032173,1,2020-10-22,0,,2016-04-30,2020-10-22,2,EUCTR,2020-10-22,1,1636.0
111,2005-004124-39,0,,NCT00466089,0,,1,2016-03-01,2016-03-01,2016-03-01,1,Journal,2020-12-11,0,1746.0
112,2014-005477-37,1,2019-02-20,NCT02585960,1,2019-08-26,1,2020-11-04,2019-02-20,2020-11-04,3,EUCTR,2019-08-26,1,187.0
113,2015-003696-30,1,2019-06-28,NCT02522299,1,2019-11-25,0,,2019-06-28,2019-11-25,2,EUCTR,2019-11-25,1,150.0
114,2010-021217-23,1,2016-11-10,NCT01233232,1,2015-05-19,1,2015-02-11,2015-02-11,2016-11-10,3,Journal,2015-05-19,1,97.0
115,2014-000177-39,0,,NCT02738190,0,,1,2017-05-01,2017-05-01,2017-05-01,1,Journal,2020-12-11,0,1320.0
116,2013-003227-11,1,2018-08-22,NCT01946568,0,,1,2017-07-01,2017-07-01,2018-08-22,2,Journal,2018-08-22,1,417.0
117,2011-005461-21,0,,NCT01737177,0,,1,2017-01-12,2017-01-12,2017-01-12,1,Journal,2020-12-11,0,1429.0
118,2007-006033-14,0,,NCT00717938,0,,1,2017-11-02,2017-11-02,2017-11-02,1,Journal,2020-12-11,0,1135.0
119,2007-000180-13,1,2016-12-27,NCT01379508,1,2018-11-05,1,2016-11-18,2016-11-18,2018-11-05,3,Journal,2016-12-27,1,39.0
120,2009-017752-28,1,2019-07-29,NCT01449032,0,,1,2017-12-03,2017-12-03,2019-07-29,2,Journal,2019-07-29,1,603.0
121,2009-017831-16,0,,NCT01180413,0,,1,2016-03-10,2016-03-10,2016-03-10,1,Journal,2020-12-11,0,1737.0
122,2009-018097-64,1,2015-05-29,NCT01092611,0,,1,2018-03-30,2015-05-29,2018-03-30,2,EUCTR,2018-03-30,1,1036.0
123,2013-004654-13,1,2017-04-01,NCT02114931,1,2017-04-24,1,2019-03-29,2017-04-01,2019-03-29,3,EUCTR,2017-04-24,1,23.0
124,2008-000718-63,1,2015-07-15,NCT00755053,0,,0,,2015-07-15,2015-07-15,1,EUCTR,2020-12-11,0,1976.0
125,2014-001759-22,1,2018-07-15,NCT02515656,1,2019-01-22,1,2019-02-18,2018-07-15,2019-02-18,3,EUCTR,2019-01-22,1,191.0
126,2014-003558-15,1,2017-07-13,NCT02349451,1,2017-08-04,1,2018-05-31,2017-07-13,2018-05-31,3,EUCTR,2017-08-04,1,22.0
127,2004-005135-26,1,2016-02-13,NCT00683514,0,,1,2016-01-25,2016-01-25,2016-02-13,2,Journal,2016-02-13,1,19.0
128,2010-022058-18,0,,NCT01283776,0,,1,2015-02-23,2015-02-23,2015-02-23,1,Journal,2020-12-11,0,2118.0
129,2013-005062-19,0,,NCT02711267,0,,1,2016-08-18,2016-08-18,2016-08-18,1,Journal,2020-12-11,0,1576.0
130,2008-007167-16,1,2016-08-18,NCT00883116,1,2014-03-14,1,2015-04-26,2014-03-14,2016-08-18,3,CTgov,2015-04-26,1,408.0
131,2006-004942-18,1,2016-05-11,NCT00464061,0,,0,,2016-05-11,2016-05-11,1,EUCTR,2020-12-11,0,1675.0
132,2009-013552-72,1,2016-08-31,NCT01155479,1,2016-07-28,1,2017-05-10,2016-07-28,2017-05-10,3,CTgov,2016-08-31,1,34.0
133,2014-004751-31,1,2017-12-03,NCT02604212,1,2019-04-16,1,2019-10-26,2017-12-03,2019-10-26,3,EUCTR,2019-04-16,1,499.0
134,2009-017449-72,0,,NCT00104858,1,2019-07-11,0,,2019-07-11,2019-07-11,1,CTgov,2020-12-11,0,519.0
135,2011-002268-26,0,,NCT00860977,0,,1,2018-10-29,2018-10-29,2018-10-29,1,Journal,2020-12-11,0,774.0
136,2012-001570-29,1,2020-03-19,NCT02037204,1,2019-01-02,1,2017-06-23,2017-06-23,2020-03-19,3,Journal,2019-01-02,1,558.0
137,2011-000774-58,1,2017-02-04,NCT01355302,1,2017-03-13,0,,2017-02-04,2017-03-13,2,EUCTR,2017-03-13,1,37.0
138,2013-001421-55,1,2017-05-25,NCT01908816,1,2019-08-12,0,,2017-05-25,2019-08-12,2,EUCTR,2019-08-12,1,809.0
139,2005-003740-62,0,,NCT00297128,0,,1,2014-11-03,2014-11-03,2014-11-03,1,Journal,2020-12-11,0,2230.0
140,2013-002183-63,0,,NCT02051023,0,,1,2015-10-28,2015-10-28,2015-10-28,1,Journal,2020-12-11,0,1871.0
141,2013-003660-31,1,2016-12-01,NCT01917630,0,,1,2016-11-15,2016-11-15,2016-12-01,2,Journal,2016-12-01,1,16.0
142,2007-007940-92,1,2019-11-09,NCT00775138,1,2019-07-10,0,,2019-07-10,2019-11-09,2,CTgov,2019-11-09,1,122.0
143,2013-000536-10,1,2018-03-09,NCT02013167,1,2017-08-09,1,2017-03-02,2017-03-02,2018-03-09,3,Journal,2017-08-09,1,160.0
144,2017-001373-16,1,2019-04-13,NCT03152591,1,2019-05-09,0,,2019-04-13,2019-05-09,2,EUCTR,2019-05-09,1,26.0
145,2013-000056-18,0,,NCT02156791,0,,1,2018-01-10,2018-01-10,2018-01-10,1,Journal,2020-12-11,0,1066.0
146,2007-003103-12,0,,NCT01382147,0,,1,2018-10-01,2018-10-01,2018-10-01,1,Journal,2020-12-11,0,802.0
147,2008-003575-47,1,2015-06-26,NCT00809705,0,,0,,2015-06-26,2015-06-26,1,EUCTR,2020-12-11,0,1995.0
148,2009-010186-23,0,,NCT01337544,0,,1,2015-09-01,2015-09-01,2015-09-01,1,Journal,2020-12-11,0,1928.0
149,2013-002451-15,1,2017-05-18,NCT02212457,1,2017-07-21,0,,2017-05-18,2017-07-21,2,EUCTR,2017-07-21,1,64.0
150,2009-014441-93,1,2017-12-16,NCT01336530,0,,0,,2017-12-16,2017-12-16,1,EUCTR,2020-12-11,0,1091.0
151,2006-002060-26,1,2016-06-02,NCT00408330,0,,0,,2016-06-02,2016-06-02,1,EUCTR,2020-12-11,0,1653.0
152,2008-002380-14,0,,NCT01410019,0,,1,2014-10-09,2014-10-09,2014-10-09,1,Journal,2020-12-11,0,2255.0
153,2012-002255-42,0,,NCT01722331,1,2018-06-13,1,2017-06-05,2017-06-05,2018-06-13,2,Journal,2018-06-13,1,373.0
154,2010-018283-16,0,,NCT01143064,0,,1,2014-12-10,2014-12-10,2014-12-10,1,Journal,2020-12-11,0,2193.0
155,2012-002669-37,1,2017-11-08,NCT01693068,1,2018-01-05,1,2020-06-29,2017-11-08,2020-06-29,3,EUCTR,2018-01-05,1,58.0
156,2011-002453-65,1,2017-02-05,NCT01391325,1,2014-06-17,1,2015-05-21,2014-06-17,2017-02-05,3,CTgov,2015-05-21,1,338.0
157,2015-002898-37,1,2019-07-06,NCT02826603,1,2019-07-09,1,2018-10-17,2018-10-17,2019-07-09,3,Journal,2019-07-06,1,262.0
158,2012-001125-27,1,2016-09-18,NCT01965145,0,,1,2018-01-25,2016-09-18,2018-01-25,2,EUCTR,2018-01-25,1,494.0
159,2012-004300-35,0,,NCT02376075,0,,1,2016-02-01,2016-02-01,2016-02-01,1,Journal,2020-12-11,0,1775.0
160,2008-006014-20,0,,NCT00827021,0,,1,2017-03-01,2017-03-01,2017-03-01,1,Journal,2020-12-11,0,1381.0
161,2007-001097-90,1,2016-07-10,NCT00658645,0,,0,,2016-07-10,2016-07-10,1,EUCTR,2020-12-11,0,1615.0
162,2015-004026-34,1,2020-01-22,NCT02754882,0,,1,2020-05-28,2020-01-22,2020-05-28,2,EUCTR,2020-05-28,1,127.0
163,2010-021850-20,1,2017-10-21,NCT01377922,1,2018-01-04,1,2016-02-06,2016-02-06,2018-01-04,3,Journal,2017-10-21,1,623.0
164,2005-005597-67,1,2016-02-28,NCT00319709,0,,0,,2016-02-28,2016-02-28,1,EUCTR,2020-12-11,0,1748.0
165,2010-023023-19,1,2016-09-16,NCT01333501,1,2017-03-21,1,2017-10-23,2016-09-16,2017-10-23,3,EUCTR,2017-03-21,1,186.0
166,2011-001965-42,1,2020-01-01,NCT02472964,1,2018-10-30,1,2016-12-01,2016-12-01,2020-01-01,3,Journal,2018-10-30,1,698.0
167,2012-000347-28,1,2017-06-30,NCT01752322,0,,1,2019-01-05,2017-06-30,2019-01-05,2,EUCTR,2019-01-05,1,554.0
168,2013-001141-14,0,,NCT01855997,1,2016-04-08,1,2019-04-10,2016-04-08,2019-04-10,2,CTgov,2019-04-10,1,1097.0
169,2011-006294-26,1,2016-02-13,NCT01757405,1,2016-10-25,0,,2016-02-13,2016-10-25,2,EUCTR,2016-10-25,1,255.0
170,2008-000245-55,0,,NCT00815945,0,,1,2016-11-01,2016-11-01,2016-11-01,1,Journal,2020-12-11,0,1501.0
171,2011-006174-47,0,,NCT01527357,1,2019-12-18,1,2014-10-13,2014-10-13,2019-12-18,2,Journal,2019-12-18,1,1892.0
172,2012-003487-48,1,2018-04-11,NCT01831856,1,2019-07-02,0,,2018-04-11,2019-07-02,2,EUCTR,2019-07-02,1,447.0
173,2011-004584-67,1,2015-03-20,NCT01572649,0,,0,,2015-03-20,2015-03-20,1,EUCTR,2020-12-11,0,2093.0
174,2006-004397-27,1,2014-12-21,NCT00566384,0,,0,,2014-12-21,2014-12-21,1,EUCTR,2020-12-11,0,2182.0
175,2006-001707-11,0,,NCT00459771,0,,1,2016-06-23,2016-06-23,2016-06-23,1,Journal,2020-12-11,0,1632.0
176,2013-000823-15,1,2020-10-29,NCT02096068,0,,0,,2020-10-29,2020-10-29,1,EUCTR,2020-12-11,0,43.0
177,2011-000536-28,1,2016-05-05,NCT01304693,1,2014-05-07,1,2016-02-20,2014-05-07,2016-05-05,3,CTgov,2016-02-20,1,654.0
178,2012-001711-23,1,2019-04-12,NCT01731600,1,2019-10-30,1,2017-07-06,2017-07-06,2019-10-30,3,Journal,2019-04-12,1,645.0
179,2004-002078-45,1,2016-10-13,NCT00189722,0,,0,,2016-10-13,2016-10-13,1,EUCTR,2020-12-11,0,1520.0
180,2013-004544-32,0,,NCT02071914,1,2020-03-16,0,,2020-03-16,2020-03-16,1,CTgov,2020-12-11,0,270.0
181,2012-000057-31,0,,NCT01651715,0,,1,2015-12-25,2015-12-25,2015-12-25,1,Journal,2020-12-11,0,1813.0
182,2011-005017-37,0,,NCT01616927,0,,1,2018-10-25,2018-10-25,2018-10-25,1,Journal,2020-12-11,0,778.0
183,2010-022699-30,0,,NCT01359397,0,,1,2016-03-11,2016-03-11,2016-03-11,1,Journal,2020-12-11,0,1736.0
184,2010-023002-13,1,2014-11-09,NCT01344460,1,2015-08-26,1,2017-06-02,2014-11-09,2017-06-02,3,EUCTR,2015-08-26,1,290.0
185,2009-014765-74,1,2017-06-24,NCT01100294,0,,0,,2017-06-24,2017-06-24,1,EUCTR,2020-12-11,0,1266.0
186,2008-004126-16,1,2020-04-26,NCT00810277,1,2016-03-31,0,,2016-03-31,2020-04-26,2,CTgov,2020-04-26,1,1487.0
187,2007-003080-45,1,2017-05-13,NCT00666484,0,,1,2019-11-11,2017-05-13,2019-11-11,2,EUCTR,2019-11-11,1,912.0
188,2013-003183-31,1,2020-05-10,NCT02111044,0,,0,,2020-05-10,2020-05-10,1,EUCTR,2020-12-11,0,215.0
189,2015-002724-16,0,,NCT02596074,0,,1,2019-11-22,2019-11-22,2019-11-22,1,Journal,2020-12-11,0,385.0
