,euctr_id,euctr_results_inc,euctr_results_date,nct_id,ctgov_results_inc,ctgov_results_date,journal_results_inc,journal_pub_date,min_date,max_date,results_counts,earliest_results,Unnamed: 0,eudract_number,final_date,inferred,euctr_days,ctg_days,pub_days
55,2010-023198-21,1,2017-05-10,NCT01616784,0,,1,2017-03-30,2017-03-30,2017-05-10,2,Journal,19530,2010-023198-21,2015-06-25,0,685.0,1996.0,644.0
56,2011-002472-16,0,,NCT01549015,0,,1,2015-11-14,2015-11-14,2015-11-14,1,Journal,17625,2011-002472-16,2012-07-06,0,3080.0,3080.0,1226.0
57,2011-004355-40,1,2016-08-11,NCT01681940,0,,0,,2016-08-11,2016-08-11,1,EUCTR,2036,2011-004355-40,2013-09-20,0,1056.0,2639.0,2639.0
58,2015-003537-99,1,2018-11-04,NCT01712334,1,2014-05-01,1,2015-04-25,2014-05-01,2018-11-04,3,CTgov,21295,2015-003537-99,2013-06-18,0,1965.0,317.0,676.0
59,2013-002165-19,0,,NCT01974739,0,,1,2016-12-02,2016-12-02,2016-12-02,1,Journal,10906,2013-002165-19,2015-04-21,1,2061.0,2061.0,591.0
60,2015-004768-12,1,2018-12-23,NCT02906917,1,2018-09-28,1,2018-11-16,2018-09-28,2018-12-23,3,CTgov,11480,2015-004768-12,2017-12-24,0,364.0,278.0,327.0
61,2012-000363-24,0,,NCT01613755,0,,1,2016-03-15,2016-03-15,2016-03-15,1,Journal,20448,2012-000363-24,2013-10-15,1,2614.0,2614.0,882.0
62,2013-003363-64,1,2018-03-22,NCT01971242,0,,1,2017-08-03,2017-08-03,2018-03-22,2,Journal,941,2013-003363-64,2016-05-12,0,679.0,1674.0,448.0
63,2013-003000-39,1,2016-03-25,,0,,0,,2016-03-25,2016-03-25,1,EUCTR,2370,2013-003000-39,2015-06-08,0,291.0,2013.0,2013.0
64,2010-024108-84,1,2015-08-07,NCT01410227,1,2016-04-21,1,2015-08-03,2015-08-03,2016-04-21,3,Journal,4057,2010-024108-84,2014-02-15,0,538.0,796.0,534.0
